sample_id,traj_id,k,x1,x2,u_bound,gamma,u,k1,k2,q11,q12,q22,y1,y2,x1_next,x2_next,solve_time
286,5,36,-0.0005089695855042388,0.0006894712225053671,1.682849946864379,0.1767450356267428,0.006697909539116178,-17.19371442213781,-2.977888121474966,0.015076273813648795,-0.03184238502138296,0.18446472939277125,-0.1643940863872232,-0.001826451912410354,-0.0004400224632537021,0.00059607260297898,0.08115148544311523
287,5,37,-0.0004400224632537021,0.00059607260297898,1.682849946864379,0.17674503562674507,0.005790583048554072,-17.193714422098274,-2.9778881214591033,0.015076273813730116,-0.0318423850218456,0.18446472939687222,-0.16439408638715278,-0.0018264519150008253,-0.00038041520295580407,0.0005153261462191035,0.08387327194213867
288,5,38,-0.00038041520295580407,0.0005153261462191035,1.682849946864379,0.17674503562674587,0.0050061667520056394,-17.19371442228193,-2.977888121474065,0.015076273813461931,-0.031842385022057954,0.18446472940144978,-0.16439408638420175,-0.0018264519218928162,-0.0003288825883338937,0.0004455179380047542,0.09562134742736816
289,5,39,-0.0003288825883338937,0.0004455179380047542,1.682849946864379,0.17674503562674249,0.0043280107267527484,-17.193714422199143,-2.9778881214873674,0.01507627381357189,-0.03184238502140141,0.18446472939326802,-0.16439408638637573,-0.0018264519139071678,-0.0002843307945334183,0.00038516623799591675,0.0917959213256836
290,5,40,-0.0002843307945334183,0.00038516623799591675,1.682849946864379,0.1767450356267423,0.003741720517706048,-17.19371442217736,-2.977888121503769,0.01507627381365134,-0.031842385021399626,0.18446472939139893,-0.1643940863868965,-0.0018264519120907072,-0.0002458141707338266,0.0003329900285430577,0.08308887481689453
291,5,41,-0.0002458141707338266,0.0003329900285430577,1.682849946864379,0.17674503562674218,0.003234851601971251,-17.193714422328085,-2.977888121533769,0.015076273813456133,-0.031842385021397177,0.1844647293922782,-0.16439408638486447,-0.001826451915486137,-0.00021251516787952084,0.0002878818239294432,0.08937573432922363
292,5,42,-0.00021251516787952084,0.0002878818239294432,1.682849946864379,0.17674503562681593,0.002796645243056884,-17.193714420998244,-2.977888120523395,0.015076273815531916,-0.0318423850417826,0.1844647296081494,-0.16439408637197309,-0.0018264520637919768,-0.0001837269854865765,0.0002488841630215211,0.07823681831359863
293,5,43,-0.0001837269854865765,0.0002488841630215211,1.682849946864379,0.17674503562677393,0.002417800127523619,-17.193714422227934,-2.977888121090719,0.015076273813563036,-0.031842385030890714,0.1844647295022165,-0.16439408637102973,-0.0018264520011025058,-0.0001588385691844244,0.00021516928633826094,0.07515764236450195
294,5,44,-0.0001588385691844244,0.00021516928633826094,1.682849946864379,0.17674503562674393,0.0020902749359008104,-17.193714422241587,-2.9778881214781845,0.01507627381346968,-0.03184238502136922,0.18446472939473305,-0.1643940863856465,-0.0018264519157779953,-0.0001373216405505983,0.0001860215660892199,0.08619070053100586
295,5,45,-0.0001373216405505983,0.0001860215660892199,1.682849946864379,0.17674503562674557,0.0018071176596097561,-17.193714422159783,-2.977888121498883,0.015076273813725472,-0.03184238502190601,0.1844647293954276,-0.16439408638655365,-0.0018264519150394693,-0.00011871948394167631,0.00016082231642020983,0.07698178291320801
296,5,46,-0.00011871948394167631,0.00016082231642020983,1.682849946864379,0.17674503562773858,0.0015623180379757706,-17.193714407938973,-2.977888108040746,0.01507627383652187,-0.0318423853062801,0.18446473245138417,-0.16439408614581658,-0.0018264540961623575,-0.00010263725229965533,0.00013903666123071416,0.13367629051208496
297,5,47,-0.00010263725229965533,0.00013903666123071416,1.682849946864379,0.17674503562674326,0.001350679983200459,-17.193714422391842,-2.9778881215491375,0.015076273813381015,-0.03184238502140397,0.18446472939249003,-0.16439408638402458,-0.0018264519168047376,-8.873358617658391e-05,0.00012020218080094755,0.15899324417114258
298,5,48,-8.873358617658391e-05,0.00012020218080094755,1.682849946864379,0.1767450356267467,0.00116771129399132,-17.19371442217075,-2.977888121486728,0.015076273813688692,-0.03184238502202675,0.1844647293976446,-0.16439408638611414,-0.0018264519169743755,-7.671336809648916e-05,0.00010391909691721165,0.09003520011901855
299,5,49,-7.671336809648916e-05,0.00010391909691721165,1.682849946864379,0.17674503562674657,0.0010095282991369587,-17.193714422535294,-2.9778881214820427,0.015076273813114086,-0.03184238502284595,0.184464729412746,-0.16439408637944017,-0.001826451935387416,-6.632145840476799e-05,8.984178683379983e-05,0.0785670280456543
